Year,m,d,Time,Time zone,Air temperature (degC)
2020,8,30,00:00,UTC,12.4
2020,8,31,00:00,UTC,11.8
2020,9,1,00:00,UTC,13.1
2020,9,2,00:00,UTC,11.3
2020,9,3,00:00,UTC,14.9
2020,9,4,00:00,UTC,15.9
2020,9,5,00:00,UTC,14.5
