Year,m,d,Time,Time zone,Air temperature (degC)
2019,2,21,00:00,UTC,-8.2
2019,2,22,00:00,UTC,-9.4
2019,2,23,00:00,UTC,-0.6
2019,2,24,00:00,UTC,2.7
2019,2,25,00:00,UTC,3.9
2019,2,26,00:00,UTC,0.4
2019,2,27,00:00,UTC,1
2019,2,28,00:00,UTC,-0.7
2019,3,1,00:00,UTC,-7.8
2019,3,2,00:00,UTC,-3.8
2019,3,3,00:00,UTC,-8.2
2019,3,4,00:00,UTC,-5.7
2019,3,5,00:00,UTC,-7
2019,3,6,00:00,UTC,-9.4
2019,3,7,00:00,UTC,-2.3
2019,3,8,00:00,UTC,2.1
2019,3,9,00:00,UTC,-0.7
2019,3,10,00:00,UTC,-2.4
2019,3,11,00:00,UTC,-7.3
2019,3,12,00:00,UTC,-5.9
2019,3,13,00:00,UTC,-6.2
2019,3,14,00:00,UTC,-3.1
2019,3,15,00:00,UTC,0.3
2019,3,16,00:00,UTC,0.6
2019,3,17,00:00,UTC,0.6
2019,3,18,00:00,UTC,1.4
2019,3,19,00:00,UTC,1
2019,3,20,00:00,UTC,0.5
2019,3,21,00:00,UTC,2.2
2019,3,22,00:00,UTC,1.3
2019,3,23,00:00,UTC,0.9
2019,3,24,00:00,UTC,1.5
2019,3,25,00:00,UTC,-0.4
2019,3,26,00:00,UTC,-2.3
2019,3,27,00:00,UTC,-1.8
2019,3,28,00:00,UTC,2
2019,3,29,00:00,UTC,5.4
2019,3,30,00:00,UTC,4.7
2019,3,31,00:00,UTC,0.6
2019,4,1,00:00,UTC,1.2
2019,4,2,00:00,UTC,1.9
2019,4,3,00:00,UTC,3.6
2019,4,4,00:00,UTC,5.1
2019,4,5,00:00,UTC,5.2
2019,4,6,00:00,UTC,6.3
2019,4,7,00:00,UTC,5.8
2019,4,8,00:00,UTC,2.4
2019,4,9,00:00,UTC,0.8
2019,4,10,00:00,UTC,-2
2019,4,11,00:00,UTC,-3.2
2019,4,12,00:00,UTC,-0.3
2019,4,13,00:00,UTC,2.6
2019,4,14,00:00,UTC,2.8
2019,4,15,00:00,UTC,3.9
2019,4,16,00:00,UTC,5.6
2019,4,17,00:00,UTC,6.4
2019,4,18,00:00,UTC,8.4
2019,4,19,00:00,UTC,7.3
2019,4,20,00:00,UTC,6
2019,4,21,00:00,UTC,5.4
2019,4,22,00:00,UTC,9
2019,4,23,00:00,UTC,13.1
2019,4,24,00:00,UTC,13.2
2019,4,25,00:00,UTC,13.1
2019,4,26,00:00,UTC,12.8
2019,4,27,00:00,UTC,12.2
2019,4,28,00:00,UTC,4
2019,4,29,00:00,UTC,4.9
2019,4,30,00:00,UTC,7.1
2019,5,1,00:00,UTC,8.9
2019,5,2,00:00,UTC,4.3
2019,5,3,00:00,UTC,-0.4
2019,5,4,00:00,UTC,1.5
2019,5,5,00:00,UTC,4
2019,5,6,00:00,UTC,6.1
2019,5,7,00:00,UTC,4.2
2019,5,8,00:00,UTC,6.3
2019,5,9,00:00,UTC,8.9
2019,5,10,00:00,UTC,11
2019,5,11,00:00,UTC,11.7
2019,5,12,00:00,UTC,10
2019,5,13,00:00,UTC,8.3
2019,5,14,00:00,UTC,7.7
2019,5,15,00:00,UTC,9.3
2019,5,16,00:00,UTC,11.8
2019,5,17,00:00,UTC,13.6
2019,5,18,00:00,UTC,15.7
2019,5,19,00:00,UTC,17.5
2019,5,20,00:00,UTC,17.6
2019,5,21,00:00,UTC,16.9
2019,5,22,00:00,UTC,16.4
2019,5,23,00:00,UTC,9.6
2019,5,24,00:00,UTC,7.3
2019,5,25,00:00,UTC,9.7
2019,5,26,00:00,UTC,9.7
2019,5,27,00:00,UTC,9.7
2019,5,28,00:00,UTC,11.8
2019,5,29,00:00,UTC,13.5
2019,5,30,00:00,UTC,11.5
2019,5,31,00:00,UTC,10.9
2019,6,1,00:00,UTC,12.3
2019,6,2,00:00,UTC,11.6
2019,6,3,00:00,UTC,12.8
2019,6,4,00:00,UTC,18.1
2019,6,5,00:00,UTC,20.7
2019,6,6,00:00,UTC,22.9
2019,6,7,00:00,UTC,24.3
2019,6,8,00:00,UTC,24.2
2019,6,9,00:00,UTC,20.2
2019,6,10,00:00,UTC,16.4
2019,6,11,00:00,UTC,16.7
2019,6,12,00:00,UTC,13.1
2019,6,13,00:00,UTC,13.7
2019,6,14,00:00,UTC,13.6
2019,6,15,00:00,UTC,13.9
2019,6,16,00:00,UTC,17.9
2019,6,17,00:00,UTC,20.5
2019,6,18,00:00,UTC,21.2
2019,6,19,00:00,UTC,19.7
2019,6,20,00:00,UTC,21.2
2019,6,21,00:00,UTC,22.6
2019,6,22,00:00,UTC,16.6
2019,6,23,00:00,UTC,16.4
2019,6,24,00:00,UTC,16.7
2019,6,25,00:00,UTC,17.9
2019,6,26,00:00,UTC,15.7
2019,6,27,00:00,UTC,13.9
2019,6,28,00:00,UTC,15.2
2019,6,29,00:00,UTC,15.5
2019,6,30,00:00,UTC,17.5
2019,7,1,00:00,UTC,18.3
2019,7,2,00:00,UTC,15.2
2019,7,3,00:00,UTC,13.4
2019,7,4,00:00,UTC,14.3
2019,7,5,00:00,UTC,12.7
2019,7,6,00:00,UTC,12.4
2019,7,7,00:00,UTC,12.7
2019,7,8,00:00,UTC,13.1
2019,7,9,00:00,UTC,11.3
2019,7,10,00:00,UTC,14.3
2019,7,11,00:00,UTC,11
2019,7,12,00:00,UTC,12.9
2019,7,13,00:00,UTC,12.2
2019,7,14,00:00,UTC,13.1
2019,7,15,00:00,UTC,14.9
2019,7,16,00:00,UTC,16.4
2019,7,17,00:00,UTC,17.6
2019,7,18,00:00,UTC,17.3
2019,7,19,00:00,UTC,16.1
2019,7,20,00:00,UTC,17.1
2019,7,21,00:00,UTC,19.1
2019,7,22,00:00,UTC,19.7
2019,7,23,00:00,UTC,20.3
2019,7,24,00:00,UTC,19.4
2019,7,25,00:00,UTC,20.3
2019,7,26,00:00,UTC,22.9
2019,7,27,00:00,UTC,24.6
2019,7,28,00:00,UTC,20.8
2019,7,29,00:00,UTC,13.5
2019,7,30,00:00,UTC,10.9
2019,7,31,00:00,UTC,11.4
2019,8,1,00:00,UTC,12.6
2019,8,2,00:00,UTC,11.9
2019,8,3,00:00,UTC,11.4
2019,8,4,00:00,UTC,12.7
2019,8,5,00:00,UTC,15.1
2019,8,6,00:00,UTC,13.7
2019,8,7,00:00,UTC,14.4
2019,8,8,00:00,UTC,14.7
2019,8,9,00:00,UTC,15.8
2019,8,10,00:00,UTC,17.6
2019,8,11,00:00,UTC,15.4
2019,8,12,00:00,UTC,16.8
2019,8,13,00:00,UTC,16.9
2019,8,14,00:00,UTC,15.1
2019,8,15,00:00,UTC,13.4
2019,8,16,00:00,UTC,14.8
2019,8,17,00:00,UTC,17.7
2019,8,18,00:00,UTC,17.4
2019,8,19,00:00,UTC,16.4
2019,8,20,00:00,UTC,16.3
2019,8,21,00:00,UTC,15.6
2019,8,22,00:00,UTC,15.5
2019,8,23,00:00,UTC,14.3
2019,8,24,00:00,UTC,14.1
2019,8,25,00:00,UTC,15.3
2019,8,26,00:00,UTC,16.4
2019,8,27,00:00,UTC,16.7
2019,8,28,00:00,UTC,17.8
2019,8,29,00:00,UTC,18.7
2019,8,30,00:00,UTC,17.2
2019,8,31,00:00,UTC,18.2
2019,9,1,00:00,UTC,16.8
2019,9,2,00:00,UTC,17.1
2019,9,3,00:00,UTC,15.1
2019,9,4,00:00,UTC,13.8
2019,9,5,00:00,UTC,15.6
2019,9,6,00:00,UTC,14.2
2019,9,7,00:00,UTC,12.7
2019,9,8,00:00,UTC,14.4
2019,9,9,00:00,UTC,14.4
2019,9,10,00:00,UTC,17.9
